id,name,fine_generation_status,fine_evaluation_status,fine_iou_status,fine_iou,fine_volume_abs_error_pct,fine_surface_area_abs_error_pct,fine_bbox_max_abs_error_pct,fine_geometry_pass,base_generation_status,base_evaluation_status,base_iou_status,base_iou,base_volume_abs_error_pct,base_surface_area_abs_error_pct,base_bbox_max_abs_error_pct,base_geometry_pass
case_001,40602-3(machin part),CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,
case_002,41602-3 (machin part),CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,
case_003,40605-11(machined part),CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,,STEP_EXPORTED,MEASURED,SCORE_TIMEOUT,0.0,6619241.913916,53515.457665,2393.111736,false
case_004,40605-13(rough machined part),CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,
case_005,41608-3,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,
case_006,STKJ-MT01-0006 水槽底部拼装接杆,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,
case_007,STKJ-MT01-0008 水槽骨架拼装接杆,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,
case_008,STKJ-MT01-0020 10轨道转接板,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,,STEP_EXPORTED,MEASURED,SCORED,0.09170422927116718,11440.709543,1317.097757,866.666667,false
case_009,STKJ-MT01-0023 排水管,STEP_EXPORTED,MEASURED,SCORED,0.04433452580318444,99.998427,99.98897,99.059633,false,STEP_EXPORTED,MEASURED,SCORED,1.0,0.0,0.0,0.0,true
case_010,STKJ-MT01-0024 水位检测管,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,
case_011,STKJ-MT01-0032吊耳铰链,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,
case_012,STKJ-MT01-0033轨道轮支架,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,
case_013,STKJ-MT01-0038限位尼龙轮,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,
case_014,STKJ-MT01-0039油缸Y型接头,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,
case_015,STKJ-MT01-0040链条连接螺杆,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,
case_016,STKJ-MT01-0042传动轴,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,,CAD_FAIL,NOT_EXPORTED,INVALID_OR_MISSING_STEP,0.0,,,,
